name,id,institution,longitude,latitude,keywords
cuny.dcn.nysernet.org,urn:ogf:network:domain=nysernet.org:node=nyc-vlsr1:port=0-2-3:link=1,City University of New York,,,
lambdastation.sdn.fnal.gov,urn:ogf:network:domain=es.net:node=fnal-mr2:port=xe-8/0/0:link=*,FermiLab,,,
fermi.sdn.fnal.gov,urn:ogf:network:domain=es.net:node=fnal-mr2:port=xe-8/0/0:link=*,FermiLab,,,
planetlab3.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=CLPK:port=1-0-4:link=*,MAX,,,
planetlab4.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=ARLG:port=1-0-6:link=*,MAX,,,
terapaths.sdn.bnl.gov,urn:ogf:network:domain=es.net:node=bnl-mr3:port=xe-1/2/0:link=*,Brookhaven National Lab,,,
bnl.sdn.es.net,urn:ogf:network:domain=es.net:node=bnl-mr3:port=xe-1/2/0:link=*,Brookhaven National Lab,,,
pssc7-eth2.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MAXMMLAB:port=0-0-26:link=*,MAX,,,
utest.anna.internet2.edu,urn:ogf:network:domain=anna.internet2.edu:node=raptor1:port=UTEST:link=*,Internet2,,,
test1.anna.internet2.edu,urn:ogf:network:domain=anna.internet2.edu:node=raptor1:port=1-1-1:link=*,Internet2,,,
test2.anna.internet2.edu,urn:ogf:network:domain=anna.internet2.edu:node=raptor2:port=1-1-1:link=*,Internet2,,,
deter.east.isi.edu,urn:ogf:network:domain=dragon.maxgigapop.net:node=ARLG:port=1-0-5:link=*,USC/ISI East,,,
ligo.dcn.caltech.edu,urn:ogf:network:domain=caltech.edu:node=vlsr1:port=0-7-4:link=11.1.1.1,CalTech,,,
bwctl10g2-mgmt.sc09.org,urn:ogf:network:domain=sc09.org:node=core-sw-1:port=xe-11/2/0:link=*,SC09,,,sc09,  bwctl
island.east.isi.edu,urn:ogf:network:domain=dragon.maxgigapop.net:node=ARLG:port=1-2-2:link=*,USC ISI East,,,
es2.east.isi.edu,urn:ogf:network:domain=dragon.maxgigapop.net:node=ARLG:port=1-1-12:link=*,USC ISI East,,,
ngc.mcln.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MCLN:port=1-3-2:link=*,,,,
